"cazyme_family","substrate"
"GH5","plant"
"GH8","plant"
"GH9","plant"
"GH11","plant"
"GH12","plant"
"GH15","plant"
"GH16","plant"
"GH17","plant"
"GH26","plant"
"GH28","plant"
"GH39","plant"
"GH43","plant"
"GH44","plant"
"GH48","plant"
"GH51","plant"
"GH53","plant"
"GH55","plant"
"GH67","plant"
"GH74","plant"
"GH78","plant"
"GH93","plant"
"GH94","plant"
"GH115","plant"
"GH117","plant"
"GH121","plant"
"PL1","plant"
"PL2","plant"
"PL7","plant"
"PL9","plant"
"PL11","plant"
"PL15","plant"
"PL22","plant"
"GH18","animal"
"GH19","animal"
"GH38","animal"
"GH58","animal"
"GH79","animal"
"GH84","animal"
"GH85","animal"
"GH88","animal"
"GH92","animal"
"GH98","animal"
"GH99","animal"
"GH101","animal"
"GH105","animal"
"GH109","animal"
"GH113","animal"
"PL8","animal"
"PL12","animal"
"PL13","animal"
"PL21","animal"
"GH32","sucrose_fructans"
"GH68","sucrose_fructans"
"GH70","sucrose_fructans"
"GH91","sucrose_fructans"
"GH35","mucin"
"GH129","mucin"
